quantifier	sent	category	subject	pos_target
Gen	Mango trees are grown for their fruit.	invirtue	Mango trees	1
Few	Few mango trees are grown for their fruit.	invirtue	Mango trees	2
Some	Some mango trees are grown for their fruit.	invirtue	Mango trees	2
Many	Many mango trees are grown for their fruit.	invirtue	Mango trees	2
Most	Most mango trees are grown for their fruit.	invirtue	Mango trees	2
All	All mango trees are grown for their fruit.	invirtue	Mango trees	2
Gen	Mandibles are used to hold the teeth.	quasidef	Mandibles	0
Few	Few mandibles are used to hold the teeth.	quasidef	Mandibles	1
Some	Some mandibles are used to hold the teeth.	quasidef	Mandibles	1
Many	Many mandibles are used to hold the teeth.	quasidef	Mandibles	1
Most	Most mandibles are used to hold the teeth.	quasidef	Mandibles	1
All	All mandibles are used to hold the teeth.	quasidef	Mandibles	1
Gen	Mandibles are made of bone.	character	Mandibles	0
Few	Few mandibles are made of bone.	character	Mandibles	1
Some	Some mandibles are made of bone.	character	Mandibles	1
Many	Many mandibles are made of bone.	character	Mandibles	1
Most	Most mandibles are made of bone.	character	Mandibles	1
All	All mandibles are made of bone.	character	Mandibles	1
Gen	Managements may have the right to terminate an employment relationship with an employee.	character	Managements	0
Few	Few managements may have the right to terminate an employment relationship with an employee.	character	Managements	1
Some	Some managements may have the right to terminate an employment relationship with an employee.	character	Managements	1
Many	Many managements may have the right to terminate an employment relationship with an employee.	character	Managements	1
Most	Most managements may have the right to terminate an employment relationship with an employee.	character	Managements	1
All	All managements may have the right to terminate an employment relationship with an employee.	character	Managements	1
Gen	Lorries should only be used to transport people or goods.	character	Lorries	0
Few	Few lorries should only be used to transport people or goods.	character	Lorries	1
Some	Some lorries should only be used to transport people or goods.	character	Lorries	1
Many	Many lorries should only be used to transport people or goods.	character	Lorries	1
Most	Most lorries should only be used to transport people or goods.	character	Lorries	1
All	All lorries should only be used to transport people or goods.	character	Lorries	1
Gen	Lorries are used to move goods from one place to another.	character	Lorries	0
Few	Few lorries are used to move goods from one place to another.	character	Lorries	1
Some	Some lorries are used to move goods from one place to another.	character	Lorries	1
Many	Many lorries are used to move goods from one place to another.	character	Lorries	1
Most	Most lorries are used to move goods from one place to another.	character	Lorries	1
All	All lorries are used to move goods from one place to another.	character	Lorries	1
Gen	Lorries are used to carry goods.	quasidef	Lorries	0
Few	Few lorries are used to carry goods.	quasidef	Lorries	1
Some	Some lorries are used to carry goods.	quasidef	Lorries	1
Many	Many lorries are used to carry goods.	quasidef	Lorries	1
Most	Most lorries are used to carry goods.	quasidef	Lorries	1
All	All lorries are used to carry goods.	quasidef	Lorries	1
Gen	Ladles are used for cooking.	quasidef	Ladles	0
Few	Few ladles are used for cooking.	quasidef	Ladles	1
Some	Some ladles are used for cooking.	quasidef	Ladles	1
Many	Many ladles are used for cooking.	quasidef	Ladles	1
Most	Most ladles are used for cooking.	quasidef	Ladles	1
All	All ladles are used for cooking.	quasidef	Ladles	1
Gen	Lactose intolerances have to do with an allergy to lactose.	quasidef	Lactose intolerances	1
Few	Few lactose intolerances have to do with an allergy to lactose.	quasidef	Lactose intolerances	2
Some	Some lactose intolerances have to do with an allergy to lactose.	quasidef	Lactose intolerances	2
Many	Many lactose intolerances have to do with an allergy to lactose.	quasidef	Lactose intolerances	2
Most	Most lactose intolerances have to do with an allergy to lactose.	quasidef	Lactose intolerances	2
All	All lactose intolerances have to do with an allergy to lactose.	quasidef	Lactose intolerances	2
Gen	Ice creams may be made with milk or cream.	quasidef	Ice creams	1
Few	Few ice creams may be made with milk or cream.	quasidef	Ice creams	2
Some	Some ice creams may be made with milk or cream.	quasidef	Ice creams	2
Many	Many ice creams may be made with milk or cream.	quasidef	Ice creams	2
Most	Most ice creams may be made with milk or cream.	quasidef	Ice creams	2
All	All ice creams may be made with milk or cream.	quasidef	Ice creams	2
Gen	Hoes are used for plowing, sowing.	quasidef	Hoes	0
Few	Few hoes are used for plowing, sowing.	quasidef	Hoes	1
Some	Some hoes are used for plowing, sowing.	quasidef	Hoes	1
Many	Many hoes are used for plowing, sowing.	quasidef	Hoes	1
Most	Most hoes are used for plowing, sowing.	quasidef	Hoes	1
All	All hoes are used for plowing, sowing.	quasidef	Hoes	1
Gen	Hippopotamus are herbivores that eat grasses.	quasidef	Hippopotamus	0
Few	Few hippopotamus are herbivores that eat grasses.	quasidef	Hippopotamus	1
Some	Some hippopotamus are herbivores that eat grasses.	quasidef	Hippopotamus	1
Many	Many hippopotamus are herbivores that eat grasses.	quasidef	Hippopotamus	1
Most	Most hippopotamus are herbivores that eat grasses.	quasidef	Hippopotamus	1
All	All hippopotamus are herbivores that eat grasses.	quasidef	Hippopotamus	1
Gen	Guns may be used to kill.	invirtue	Guns	0
Few	Few guns may be used to kill.	invirtue	Guns	1
Some	Some guns may be used to kill.	invirtue	Guns	1
Many	Many guns may be used to kill.	invirtue	Guns	1
Most	Most guns may be used to kill.	invirtue	Guns	1
All	All guns may be used to kill.	invirtue	Guns	1
Gen	Grizzly bears have a diet.	invirtue	Grizzly bears	1
Few	Few grizzly bears have a diet.	invirtue	Grizzly bears	2
Some	Some grizzly bears have a diet.	invirtue	Grizzly bears	2
Many	Many grizzly bears have a diet.	invirtue	Grizzly bears	2
Most	Most grizzly bears have a diet.	invirtue	Grizzly bears	2
All	All grizzly bears have a diet.	invirtue	Grizzly bears	2
Gen	Green vegetables can be eaten raw or cooked.	quasidef	Green vegetables	1
Few	Few green vegetables can be eaten raw or cooked.	quasidef	Green vegetables	2
Some	Some green vegetables can be eaten raw or cooked.	quasidef	Green vegetables	2
Many	Many green vegetables can be eaten raw or cooked.	quasidef	Green vegetables	2
Most	Most green vegetables can be eaten raw or cooked.	quasidef	Green vegetables	2
All	All green vegetables can be eaten raw or cooked.	quasidef	Green vegetables	2
Gen	Front yards are private property.	quasidef	Front yards	1
Few	Few front yards are private property.	quasidef	Front yards	2
Some	Some front yards are private property.	quasidef	Front yards	2
Many	Many front yards are private property.	quasidef	Front yards	2
Most	Most front yards are private property.	quasidef	Front yards	2
All	All front yards are private property.	quasidef	Front yards	2
Gen	Experimental evidences should be treated with caution.	quasidef	Experimental evidences	1
Few	Few experimental evidences should be treated with caution.	quasidef	Experimental evidences	2
Some	Some experimental evidences should be treated with caution.	quasidef	Experimental evidences	2
Many	Many experimental evidences should be treated with caution.	quasidef	Experimental evidences	2
Most	Most experimental evidences should be treated with caution.	quasidef	Experimental evidences	2
All	All experimental evidences should be treated with caution.	quasidef	Experimental evidences	2
Gen	Experimental evidences may have to be interpreted with caution.	character	Experimental evidences	1
Few	Few experimental evidences may have to be interpreted with caution.	character	Experimental evidences	2
Some	Some experimental evidences may have to be interpreted with caution.	character	Experimental evidences	2
Many	Many experimental evidences may have to be interpreted with caution.	character	Experimental evidences	2
Most	Most experimental evidences may have to be interpreted with caution.	character	Experimental evidences	2
All	All experimental evidences may have to be interpreted with caution.	character	Experimental evidences	2
Gen	Expeditions are organized by a group leader.	invirtue	Expeditions	0
Few	Few expeditions are organized by a group leader.	invirtue	Expeditions	1
Some	Some expeditions are organized by a group leader.	invirtue	Expeditions	1
Many	Many expeditions are organized by a group leader.	invirtue	Expeditions	1
Most	Most expeditions are organized by a group leader.	invirtue	Expeditions	1
All	All expeditions are organized by a group leader.	invirtue	Expeditions	1
Gen	Evergreen trees can be planted.	character	Evergreen trees	1
Few	Few evergreen trees can be planted.	character	Evergreen trees	2
Some	Some evergreen trees can be planted.	character	Evergreen trees	2
Many	Many evergreen trees can be planted.	character	Evergreen trees	2
Most	Most evergreen trees can be planted.	character	Evergreen trees	2
All	All evergreen trees can be planted.	character	Evergreen trees	2
Gen	Events have an effect on the world.	character	Events	0
Few	Few events have an effect on the world.	character	Events	1
Some	Some events have an effect on the world.	character	Events	1
Many	Many events have an effect on the world.	character	Events	1
Most	Most events have an effect on the world.	character	Events	1
All	All events have an effect on the world.	character	Events	1
Gen	Dvd players are used for watching movies.	quasidef	Dvd players	1
Few	Few dvd players are used for watching movies.	quasidef	Dvd players	2
Some	Some dvd players are used for watching movies.	quasidef	Dvd players	2
Many	Many dvd players are used for watching movies.	quasidef	Dvd players	2
Most	Most dvd players are used for watching movies.	quasidef	Dvd players	2
All	All dvd players are used for watching movies.	quasidef	Dvd players	2
Gen	Detergents should be rinsed off after use.	quasidef	Detergents	0
Few	Few detergents should be rinsed off after use.	quasidef	Detergents	1
Some	Some detergents should be rinsed off after use.	quasidef	Detergents	1
Many	Many detergents should be rinsed off after use.	quasidef	Detergents	1
Most	Most detergents should be rinsed off after use.	quasidef	Detergents	1
All	All detergents should be rinsed off after use.	quasidef	Detergents	1
Gen	Decanters may have a maximum capacity.	quasidef	Decanters	0
Few	Few decanters may have a maximum capacity.	quasidef	Decanters	1
Some	Some decanters may have a maximum capacity.	quasidef	Decanters	1
Many	Many decanters may have a maximum capacity.	quasidef	Decanters	1
Most	Most decanters may have a maximum capacity.	quasidef	Decanters	1
All	All decanters may have a maximum capacity.	quasidef	Decanters	1
Gen	Cushions are made of a material.	quasidef	Cushions	0
Few	Few cushions are made of a material.	quasidef	Cushions	1
Some	Some cushions are made of a material.	quasidef	Cushions	1
Many	Many cushions are made of a material.	quasidef	Cushions	1
Most	Most cushions are made of a material.	quasidef	Cushions	1
All	All cushions are made of a material.	quasidef	Cushions	1
Gen	Cudgels can be made of metal, wood, stone, or any other material.	character	Cudgels	0
Few	Few cudgels can be made of metal, wood, stone, or any other material.	character	Cudgels	1
Some	Some cudgels can be made of metal, wood, stone, or any other material.	character	Cudgels	1
Many	Many cudgels can be made of metal, wood, stone, or any other material.	character	Cudgels	1
Most	Most cudgels can be made of metal, wood, stone, or any other material.	character	Cudgels	1
All	All cudgels can be made of metal, wood, stone, or any other material.	character	Cudgels	1
Gen	Crabapples can be eaten raw or cooked.	invirtue	Crabapples	0
Few	Few crabapples can be eaten raw or cooked.	invirtue	Crabapples	1
Some	Some crabapples can be eaten raw or cooked.	invirtue	Crabapples	1
Many	Many crabapples can be eaten raw or cooked.	invirtue	Crabapples	1
Most	Most crabapples can be eaten raw or cooked.	invirtue	Crabapples	1
All	All crabapples can be eaten raw or cooked.	invirtue	Crabapples	1
Gen	Coyotes have been known to prey on small mammals, including rabbits, squirrels, chipmunks, skunks	invirtue	Coyotes	0
Few	Few coyotes have been known to prey on small mammals, including rabbits, squirrels, chipmunks, skunks	invirtue	Coyotes	1
Some	Some coyotes have been known to prey on small mammals, including rabbits, squirrels, chipmunks, skunks	invirtue	Coyotes	1
Many	Many coyotes have been known to prey on small mammals, including rabbits, squirrels, chipmunks, skunks	invirtue	Coyotes	1
Most	Most coyotes have been known to prey on small mammals, including rabbits, squirrels, chipmunks, skunks	invirtue	Coyotes	1
All	All coyotes have been known to prey on small mammals, including rabbits, squirrels, chipmunks, skunks	invirtue	Coyotes	1
Gen	Cough syrups have a sweet taste.	character	Cough syrups	1
Few	Few cough syrups have a sweet taste.	character	Cough syrups	2
Some	Some cough syrups have a sweet taste.	character	Cough syrups	2
Many	Many cough syrups have a sweet taste.	character	Cough syrups	2
Most	Most cough syrups have a sweet taste.	character	Cough syrups	2
All	All cough syrups have a sweet taste.	character	Cough syrups	2
Gen	Cookers may be used to boil water or to boil pasta.	character	Cookers	0
Few	Few cookers may be used to boil water or to boil pasta.	character	Cookers	1
Some	Some cookers may be used to boil water or to boil pasta.	character	Cookers	1
Many	Many cookers may be used to boil water or to boil pasta.	character	Cookers	1
Most	Most cookers may be used to boil water or to boil pasta.	character	Cookers	1
All	All cookers may be used to boil water or to boil pasta.	character	Cookers	1
Gen	Cookbooks are written for people who cook.	quasidef	Cookbooks	0
Few	Few cookbooks are written for people who cook.	quasidef	Cookbooks	1
Some	Some cookbooks are written for people who cook.	quasidef	Cookbooks	1
Many	Many cookbooks are written for people who cook.	quasidef	Cookbooks	1
Most	Most cookbooks are written for people who cook.	quasidef	Cookbooks	1
All	All cookbooks are written for people who cook.	quasidef	Cookbooks	1
Gen	Concert halls should be equipped with a soundproofing system.	character	Concert halls	1
Few	Few concert halls should be equipped with a soundproofing system.	character	Concert halls	2
Some	Some concert halls should be equipped with a soundproofing system.	character	Concert halls	2
Many	Many concert halls should be equipped with a soundproofing system.	character	Concert halls	2
Most	Most concert halls should be equipped with a soundproofing system.	character	Concert halls	2
All	All concert halls should be equipped with a soundproofing system.	character	Concert halls	2
Gen	Concert halls have their own sound systems, which can be quite expensive.	character	Concert halls	1
Few	Few concert halls have their own sound systems, which can be quite expensive.	character	Concert halls	2
Some	Some concert halls have their own sound systems, which can be quite expensive.	character	Concert halls	2
Many	Many concert halls have their own sound systems, which can be quite expensive.	character	Concert halls	2
Most	Most concert halls have their own sound systems, which can be quite expensive.	character	Concert halls	2
All	All concert halls have their own sound systems, which can be quite expensive.	character	Concert halls	2
Gen	Coasters may have a maximum speed limit.	character	Coasters	0
Few	Few coasters may have a maximum speed limit.	character	Coasters	1
Some	Some coasters may have a maximum speed limit.	character	Coasters	1
Many	Many coasters may have a maximum speed limit.	character	Coasters	1
Most	Most coasters may have a maximum speed limit.	character	Coasters	1
All	All coasters may have a maximum speed limit.	character	Coasters	1
Gen	Clocks have to be synchronized.	character	Clocks	0
Few	Few clocks have to be synchronized.	character	Clocks	1
Some	Some clocks have to be synchronized.	character	Clocks	1
Many	Many clocks have to be synchronized.	character	Clocks	1
Most	Most clocks have to be synchronized.	character	Clocks	1
All	All clocks have to be synchronized.	character	Clocks	1
Gen	Chapels are open to the public during regular hours.	character	Chapels	0
Few	Few chapels are open to the public during regular hours.	character	Chapels	1
Some	Some chapels are open to the public during regular hours.	character	Chapels	1
Many	Many chapels are open to the public during regular hours.	character	Chapels	1
Most	Most chapels are open to the public during regular hours.	character	Chapels	1
All	All chapels are open to the public during regular hours.	character	Chapels	1
Gen	Camps are set up to provide a safe, secure place to sleep.	quasidef	Camps	0
Few	Few camps are set up to provide a safe, secure place to sleep.	quasidef	Camps	1
Some	Some camps are set up to provide a safe, secure place to sleep.	quasidef	Camps	1
Many	Many camps are set up to provide a safe, secure place to sleep.	quasidef	Camps	1
Most	Most camps are set up to provide a safe, secure place to sleep.	quasidef	Camps	1
All	All camps are set up to provide a safe, secure place to sleep.	quasidef	Camps	1
Gen	Cameras have a maximum shutter speed.	quasidef	Cameras	0
Few	Few cameras have a maximum shutter speed.	quasidef	Cameras	1
Some	Some cameras have a maximum shutter speed.	quasidef	Cameras	1
Many	Many cameras have a maximum shutter speed.	quasidef	Cameras	1
Most	Most cameras have a maximum shutter speed.	quasidef	Cameras	1
All	All cameras have a maximum shutter speed.	quasidef	Cameras	1
Gen	Cameras are used to capture the world around us.	quasidef	Cameras	0
Few	Few cameras are used to capture the world around us.	quasidef	Cameras	1
Some	Some cameras are used to capture the world around us.	quasidef	Cameras	1
Many	Many cameras are used to capture the world around us.	quasidef	Cameras	1
Most	Most cameras are used to capture the world around us.	quasidef	Cameras	1
All	All cameras are used to capture the world around us.	quasidef	Cameras	1
Gen	Cakes can be purchased.	character	Cakes	0
Few	Few cakes can be purchased.	character	Cakes	1
Some	Some cakes can be purchased.	character	Cakes	1
Many	Many cakes can be purchased.	character	Cakes	1
Most	Most cakes can be purchased.	character	Cakes	1
All	All cakes can be purchased.	character	Cakes	1
Gen	Bulldozers are used for construction.	quasidef	Bulldozers	0
Few	Few bulldozers are used for construction.	quasidef	Bulldozers	1
Some	Some bulldozers are used for construction.	quasidef	Bulldozers	1
Many	Many bulldozers are used for construction.	quasidef	Bulldozers	1
Most	Most bulldozers are used for construction.	quasidef	Bulldozers	1
All	All bulldozers are used for construction.	quasidef	Bulldozers	1
Gen	Bluetooth speakers are meant to be used with a smartphone.	invirtue	Bluetooth speakers	1
Few	Few bluetooth speakers are meant to be used with a smartphone.	invirtue	Bluetooth speakers	2
Some	Some bluetooth speakers are meant to be used with a smartphone.	invirtue	Bluetooth speakers	2
Many	Many bluetooth speakers are meant to be used with a smartphone.	invirtue	Bluetooth speakers	2
Most	Most bluetooth speakers are meant to be used with a smartphone.	invirtue	Bluetooth speakers	2
All	All bluetooth speakers are meant to be used with a smartphone.	invirtue	Bluetooth speakers	2
Gen	Backhoes can be found in the backyards, garages, basements, crawlspaces, etc.	character	Backhoes	0
Few	Few backhoes can be found in the backyards, garages, basements, crawlspaces, etc.	character	Backhoes	1
Some	Some backhoes can be found in the backyards, garages, basements, crawlspaces, etc.	character	Backhoes	1
Many	Many backhoes can be found in the backyards, garages, basements, crawlspaces, etc.	character	Backhoes	1
Most	Most backhoes can be found in the backyards, garages, basements, crawlspaces, etc.	character	Backhoes	1
All	All backhoes can be found in the backyards, garages, basements, crawlspaces, etc.	character	Backhoes	1
Gen	Baboons have been known to use their teeth.	character	Baboons	0
Few	Few baboons have been known to use their teeth.	character	Baboons	1
Some	Some baboons have been known to use their teeth.	character	Baboons	1
Many	Many baboons have been known to use their teeth.	character	Baboons	1
Most	Most baboons have been known to use their teeth.	character	Baboons	1
All	All baboons have been known to use their teeth.	character	Baboons	1
Gen	Assets are valued based on their current market value.	quasidef	Assets	0
Few	Few assets are valued based on their current market value.	quasidef	Assets	1
Some	Some assets are valued based on their current market value.	quasidef	Assets	1
Many	Many assets are valued based on their current market value.	quasidef	Assets	1
Most	Most assets are valued based on their current market value.	quasidef	Assets	1
All	All assets are valued based on their current market value.	quasidef	Assets	1
Gen	Assets are valued at their fair market values.	quasidef	Assets	0
Few	Few assets are valued at their fair market values.	quasidef	Assets	1
Some	Some assets are valued at their fair market values.	quasidef	Assets	1
Many	Many assets are valued at their fair market values.	quasidef	Assets	1
Most	Most assets are valued at their fair market values.	quasidef	Assets	1
All	All assets are valued at their fair market values.	quasidef	Assets	1
Gen	Amino acids produce structural changes in proteins.	quasidef	Amino acids	1
Few	Few amino acids produce structural changes in proteins.	quasidef	Amino acids	2
Some	Some amino acids produce structural changes in proteins.	quasidef	Amino acids	2
Many	Many amino acids produce structural changes in proteins.	quasidef	Amino acids	2
Most	Most amino acids produce structural changes in proteins.	quasidef	Amino acids	2
All	All amino acids produce structural changes in proteins.	quasidef	Amino acids	2
Gen	Alligators are found in florida.	quasidef	Alligators	0
Few	Few alligators are found in florida.	quasidef	Alligators	1
Some	Some alligators are found in florida.	quasidef	Alligators	1
Many	Many alligators are found in florida.	quasidef	Alligators	1
Most	Most alligators are found in florida.	quasidef	Alligators	1
All	All alligators are found in florida.	quasidef	Alligators	1
Gen	Advertisements should focus on the product.	quasidef	Advertisements	0
Few	Few advertisements should focus on the product.	quasidef	Advertisements	1
Some	Some advertisements should focus on the product.	quasidef	Advertisements	1
Many	Many advertisements should focus on the product.	quasidef	Advertisements	1
Most	Most advertisements should focus on the product.	quasidef	Advertisements	1
All	All advertisements should focus on the product.	quasidef	Advertisements	1
Gen	Frogs are smaller than most birds.	character	Frogs	0
Few	Few frogs are smaller than most birds.	character	Frogs	1
Some	Some frogs are smaller than most birds.	character	Frogs	1
Many	Many frogs are smaller than most birds.	character	Frogs	1
Most	Most frogs are smaller than most birds.	character	Frogs	1
All	All frogs are smaller than most birds.	character	Frogs	1
Gen	Frogs are an important part of the ecosystem.	character	Frogs	0
Few	Few frogs are an important part of the ecosystem.	character	Frogs	1
Some	Some frogs are an important part of the ecosystem.	character	Frogs	1
Many	Many frogs are an important part of the ecosystem.	character	Frogs	1
Most	Most frogs are an important part of the ecosystem.	character	Frogs	1
All	All frogs are an important part of the ecosystem.	character	Frogs	1
Gen	Fabric softeners can be used for softening.	quasidef	Fabric softeners	1
Few	Few fabric softeners can be used for softening.	quasidef	Fabric softeners	2
Some	Some fabric softeners can be used for softening.	quasidef	Fabric softeners	2
Many	Many fabric softeners can be used for softening.	quasidef	Fabric softeners	2
Most	Most fabric softeners can be used for softening.	quasidef	Fabric softeners	2
All	All fabric softeners can be used for softening.	quasidef	Fabric softeners	2
Gen	Fabric softeners can be considered to be a chemical.	character	Fabric softeners	1
Few	Few fabric softeners can be considered to be a chemical.	character	Fabric softeners	2
Some	Some fabric softeners can be considered to be a chemical.	character	Fabric softeners	2
Many	Many fabric softeners can be considered to be a chemical.	character	Fabric softeners	2
Most	Most fabric softeners can be considered to be a chemical.	character	Fabric softeners	2
All	All fabric softeners can be considered to be a chemical.	character	Fabric softeners	2
Gen	Daffodils are a great way to brighten up your garden.	character	Daffodils	0
Few	Few daffodils are a great way to brighten up your garden.	character	Daffodils	1
Some	Some daffodils are a great way to brighten up your garden.	character	Daffodils	1
Many	Many daffodils are a great way to brighten up your garden.	character	Daffodils	1
Most	Most daffodils are a great way to brighten up your garden.	character	Daffodils	1
All	All daffodils are a great way to brighten up your garden.	character	Daffodils	1
Gen	Coincidences are everywhere in life.	character	Coincidences	0
Few	Few coincidences are everywhere in life.	character	Coincidences	1
Some	Some coincidences are everywhere in life.	character	Coincidences	1
Many	Many coincidences are everywhere in life.	character	Coincidences	1
Most	Most coincidences are everywhere in life.	character	Coincidences	1
All	All coincidences are everywhere in life.	character	Coincidences	1
Gen	Chimpanzees have been shown to be able to use tools.	character	Chimpanzees	0
Few	Few chimpanzees have been shown to be able to use tools.	character	Chimpanzees	1
Some	Some chimpanzees have been shown to be able to use tools.	character	Chimpanzees	1
Many	Many chimpanzees have been shown to be able to use tools.	character	Chimpanzees	1
Most	Most chimpanzees have been shown to be able to use tools.	character	Chimpanzees	1
All	All chimpanzees have been shown to be able to use tools.	character	Chimpanzees	1
Gen	Chimpanzees are known to use tools to obtain food.	invirtue	Chimpanzees	0
Few	Few chimpanzees are known to use tools to obtain food.	invirtue	Chimpanzees	1
Some	Some chimpanzees are known to use tools to obtain food.	invirtue	Chimpanzees	1
Many	Many chimpanzees are known to use tools to obtain food.	invirtue	Chimpanzees	1
Most	Most chimpanzees are known to use tools to obtain food.	invirtue	Chimpanzees	1
All	All chimpanzees are known to use tools to obtain food.	invirtue	Chimpanzees	1
Gen	Cameras should be able to see.	character	Cameras	0
Few	Few cameras should be able to see.	character	Cameras	1
Some	Some cameras should be able to see.	character	Cameras	1
Many	Many cameras should be able to see.	character	Cameras	1
Most	Most cameras should be able to see.	character	Cameras	1
All	All cameras should be able to see.	character	Cameras	1
Gen	Cameras have long been used to capture images.	quasidef	Cameras	0
Few	Few cameras have long been used to capture images.	quasidef	Cameras	1
Some	Some cameras have long been used to capture images.	quasidef	Cameras	1
Many	Many cameras have long been used to capture images.	quasidef	Cameras	1
Most	Most cameras have long been used to capture images.	quasidef	Cameras	1
All	All cameras have long been used to capture images.	quasidef	Cameras	1
Gen	Aquatic animals may be able to breathe air.	character	Aquatic animals	1
Few	Few aquatic animals may be able to breathe air.	character	Aquatic animals	2
Some	Some aquatic animals may be able to breathe air.	character	Aquatic animals	2
Many	Many aquatic animals may be able to breathe air.	character	Aquatic animals	2
Most	Most aquatic animals may be able to breathe air.	character	Aquatic animals	2
All	All aquatic animals may be able to breathe air.	character	Aquatic animals	2
Gen	Aquatic animals are found in the water.	quasidef	Aquatic animals	1
Few	Few aquatic animals are found in the water.	quasidef	Aquatic animals	2
Some	Some aquatic animals are found in the water.	quasidef	Aquatic animals	2
Many	Many aquatic animals are found in the water.	quasidef	Aquatic animals	2
Most	Most aquatic animals are found in the water.	quasidef	Aquatic animals	2
All	All aquatic animals are found in the water.	quasidef	Aquatic animals	2
Gen	Alligators are faster than humans on land.	invirtue	Alligators	0
Few	Few alligators are faster than humans on land.	invirtue	Alligators	1
Some	Some alligators are faster than humans on land.	invirtue	Alligators	1
Many	Many alligators are faster than humans on land.	invirtue	Alligators	1
Most	Most alligators are faster than humans on land.	invirtue	Alligators	1
All	All alligators are faster than humans on land.	invirtue	Alligators	1
